X,Y
-48.1328997608,-24.6943885768
-48.1340653141,-24.6948050694
-48.1350511547,-24.6951892493
-48.1357468843,-24.6952788665
-48.1363377563,-24.6957960941
-48.1367794347,-24.6964435542
-48.1370388386,-24.6967494651
-48.1370202438,-24.6973931877
-48.1368957489,-24.698480044
-48.1368879303,-24.6992568791
-48.1370855109,-24.699797824
-48.1372219603,-24.700260917
-48.1371573258,-24.7006716902
-48.1364561722,-24.7019932866
-48.1356864342,-24.7031871018
-48.1351053747,-24.7043279042
-48.1346526037,-24.7045370401
-48.1342009958,-24.7043728346
-48.1336752893,-24.7045213018
-48.1331798949,-24.704915895
-48.133173949,-24.7053286819
-48.1319687633,-24.7059512534
-48.1304707984,-24.7066767474
-48.1298768939,-24.7068970961
-48.1296255229,-24.7068548048
-48.1292593348,-24.7067105314
-48.1287986668,-24.7066725612
-48.1284493631,-24.7065130253
-48.1280932448,-24.7056532627
-48.1279064115,-24.7042042828
-48.1278102543,-24.703149506
-48.1277510152,-24.7024545761
-48.1279016183,-24.7019869087
-48.1283446449,-24.7015979683
-48.1285447301,-24.700725619
-48.1286553232,-24.6996983847
-48.1292159091,-24.6988260203
-48.130038158,-24.6978473462
-48.130757253,-24.6966114323
-48.1311735976,-24.6957039489
-48.1316639339,-24.6951207331
-48.1323171252,-24.6944982068
